lon,lat,amenity
-0.0802313,51.46166,telephone
-0.0793248,51.465424,post_box
-0.0711791,51.45916,post_box
-0.075792,51.46089,post_box
-0.0846953,51.46241,atm
-0.4588762,51.501705,place_of_worship
-0.1668998,51.299458,post_box
-0.166851,51.29947,telephone
-0.1696982,51.313446,post_box
-0.170631,51.324272,post_box
-0.1707245,51.318592,post_box
-0.16869,51.31782,post_box
-0.3429732,51.565212,post_box
-0.3582282,51.560863,veterinary
-0.3567541,51.562115,atm
-0.3563662,51.562557,library
-0.3556345,51.563946,place_of_worship
-0.3554775,51.562836,post_office
-0.172064,51.2849,post_box
-0.0698846,51.469524,bar
-0.3354402,51.550186,school
-0.0798182,51.46087,post_box
-0.3310251,51.550457,post_box
-0.3163366,51.549225,post_box
-0.3207486,51.54974,post_box
-0.3194536,51.550247,telephone
-0.3196205,51.55145,telephone
-0.3189623,51.551754,pharmacy
-0.3203672,51.553226,post_box
-0.316994,51.555763,post_office
-0.316774,51.555626,pub
-0.3159253,51.55548,pharmacy
-0.3215842,51.557304,post_box
-0.3231254,51.557503,dentist
-0.3228317,51.557552,telephone
-0.3173189,51.55981,recycling
-0.3195763,51.5602,telephone
-0.322458,51.560707,post_box
-0.327971,51.559418,telephone
-0.3281388,51.55954,post_box
-0.3354693,51.558,telephone
-0.3357512,51.557518,pharmacy
-0.3354104,51.557552,pharmacy
-0.3224732,51.5637,post_box
-0.3258354,51.56432,post_box
-0.3283018,51.566868,post_box
-0.3216197,51.566635,pharmacy
-0.3213613,51.566532,telephone
-0.2093627,51.349766,post_box
-0.2097798,51.347343,post_box
-0.2144453,51.347534,post_box
-0.2127681,51.355057,post_office
-0.2154369,51.35383,post_box
-0.215979,51.354584,post_box
-0.1225299,51.4276,post_box
-0.2111358,51.46308,bicycle_parking
-0.2088929,51.467724,bicycle_parking
-0.210834,51.45918,bicycle_parking
-0.2117498,51.459606,bicycle_parking
-0.371308,51.542847,post_box
-0.359086,51.55691,post_box
-0.359064,51.55683,telephone
-0.3685675,51.536907,telephone
-0.3692192,51.545628,post_box
-0.3493892,51.553524,school
-0.3391271,51.55091,pharmacy
-0.3392639,51.550354,bar
-0.345581,51.537674,doctors
-0.3465873,51.535103,fuel
-0.3474048,51.53429,telephone
-0.3523486,51.52821,atm
-0.3524971,51.5276,telephone
-0.3530571,51.524952,telephone
-0.354969,51.519825,post_box
-0.3544798,51.5189,pharmacy
-0.3545656,51.519115,telephone
-0.355525,51.515453,telephone
-0.1226816,51.421196,post_box
-0.12906,51.419277,atm
0.1888374,51.286434,parking
-0.3020272,51.527004,post_box
-0.3001285,51.52513,post_box
-0.3317479,51.392918,pub
-0.1092189,51.513786,pub
-0.3731618,51.468628,place_of_worship
-0.2559604,51.34089,recycling
-0.266593,51.33438,parking
-0.250495,51.31239,parking
-0.378524,51.470135,pub
-0.3552644,51.471558,pub
-0.3613665,51.46775,place_of_worship
-0.3866606,51.467514,pub
-0.3848138,51.46396,pub
-0.072723,51.576035,surgery
-0.0719505,51.57493,pub
-0.3860194,51.474907,place_of_worship
-0.3628656,51.47787,pub
-0.0881233,51.653107,place_of_worship
-0.2144535,51.350845,post_box
-0.2056967,51.34432,post_box
-0.2098204,51.3469,place_of_worship
-0.204184,51.34006,post_box
-0.2114712,51.343655,post_box
-0.0365496,51.60849,fuel
-0.3826598,51.466564,place_of_worship
-0.3858009,51.46755,school
-0.3858224,51.468067,school
-0.3836201,51.46733,school
-0.2395788,51.35668,parking
-0.1099907,51.4524,toilets
-0.184308,51.365475,pub
-0.1173881,51.444813,post_box
-0.1641978,51.367123,pub
-0.1352815,51.367607,post_box
-0.1379097,51.367874,post_box
-0.1400504,51.36892,post_box
-0.145707,51.369392,post_box
-0.1320599,51.36694,post_box
-0.1415979,51.36544,post_box
-0.1420381,51.369503,telephone
-0.1495329,51.364765,post_box
-0.1551602,51.368553,pub
-0.1565028,51.40895,post_box
-0.1565565,51.41303,post_box
-0.1496834,51.418144,post_box
-0.1520357,51.416855,post_box
-0.1497364,51.400517,post_box
-0.1457847,51.399216,post_box
-0.1405694,51.402027,post_box
-0.1364345,51.404045,post_box
-0.1216396,51.407307,post_box
-0.1225552,51.40982,post_box
-0.1232185,51.411118,post_office
-0.124349,51.415043,post_box
-0.1289153,51.42138,post_box
-0.146907,51.419624,post_box
-0.1416673,51.424385,post_box
-0.1256209,51.440636,post_office
-0.1246589,51.44343,post_box
-0.1215202,51.444244,post_box
-0.1061123,51.439846,post_box
-0.1462951,51.36394,post_box
-0.1482993,51.362274,fire_station
-0.1435366,51.363262,post_box
-0.1497871,51.361736,parking
-0.1511212,51.364613,telephone
-0.1518915,51.37192,post_box
-0.3801834,51.484703,pub
-0.3756147,51.485577,townhall
-0.3753643,51.48577,library
-0.3720902,51.48425,pub
-0.1557018,51.36004,post_box
-0.150492,51.36214,pharmacy
-0.1531227,51.362312,post_box
-0.1542988,51.364243,post_box
-0.1577186,51.362965,post_box
-0.1642223,51.36234,post_box
-0.1604239,51.36349,post_box
-0.159608,51.36592,theatre
-0.1592453,51.365704,telephone
-0.3376386,51.47298,pub
-0.3241118,51.46894,pub
-0.3284018,51.472103,restaurant
-0.3338701,51.473503,pub
-0.3358043,51.475014,pub
-0.1729682,51.65042,pub
-0.1766705,51.520485,recycling
-0.1756242,51.523796,telephone
-0.070122,51.461773,post_box
-0.0701827,51.46175,telephone
0.2880248,51.44343,post_box
0.3007528,51.443005,post_box
-0.3425994,51.572533,former_police
-0.1542762,51.375183,post_box
-0.150933,51.372093,pub
-0.1508364,51.371986,restaurant
-0.374483,51.56117,post_box
-0.3677405,51.557945,post_box
-0.3773433,51.555977,post_box
-0.3799054,51.559452,post_office
-0.3799764,51.559494,post_box
-0.3799739,51.559124,former_pub
-0.3731775,51.561802,pharmacy
-0.3726437,51.56171,doctors
-0.372558,51.5611,place_of_worship
-0.3743365,51.558994,post_box
-0.3727312,51.561966,pub
-0.3653945,51.56034,post_box
-0.3610006,51.558342,post_box
-0.3458887,51.54219,pharmacy
-0.0824577,51.467926,post_box
-0.0855873,51.46948,post_box
-0.0828864,51.46975,recycling
-0.0833086,51.465473,post_box
-0.1609632,51.36561,pharmacy
-0.1613472,51.365383,recycling
-0.1613399,51.368866,post_box
-0.160368,51.36587,post_box
-0.1603244,51.365894,post_office
-0.1603872,51.365955,cafe
-0.1623319,51.365036,pub
-0.1612447,51.360214,post_box
-0.1679295,51.36057,post_box
-0.1646642,51.358517,post_box
-0.1670748,51.362427,post_box
0.2547814,51.519577,toilets
-0.3620349,51.55639,telephone
-0.3564193,51.553795,telephone
-0.3474633,51.55374,school
-0.3519737,51.554256,post_box
-0.3393015,51.491653,pub
-0.3633441,51.477264,pub
-0.3601064,51.47552,pub
-0.3278464,51.483456,fuel
-0.3197985,51.493805,post_box
-0.3266794,51.49831,restaurant
-0.3344178,51.50924,fuel
-0.3350774,51.508892,pharmacy
-0.3376027,51.51755,scout
-0.3416852,51.525467,post_box
-0.1625787,51.365005,pub
-0.1701206,51.35739,post_office
-0.1691658,51.35747,post_box
-0.3505449,51.55214,telephone
-0.3243625,51.541138,post_box
-0.3166269,51.539993,doctors
-0.3086848,51.539505,telephone
-0.3058627,51.536743,post_box
-0.3060689,51.534042,telephone
-0.3066205,51.53454,post_box
-0.3010959,51.52981,post_box
